track,level,levelCodes,moduleType,keyword
Leadership,B2 Senior Engineer,B2,ai,AI Quality Dashboards
Leadership,B2 Senior Engineer,B2,ai,AI Tool Evaluation
Leadership,B2 Senior Engineer,B2,ai,AI-Enhanced Test Strategy
Leadership,B2 Senior Engineer,B2,ai,Responsible AI Governance
Leadership,B2 Senior Engineer,B2,core,Advanced Frameworks
Leadership,B2 Senior Engineer,B2,core,Reporting
Leadership,B2 Senior Engineer,B2,core,Risk-Based Testing
Leadership,B2 Senior Engineer,B2|C1|C2,core,Stakeholder Management
Leadership,B2 Senior Engineer,B2,core,Test Strategy
Leadership,B2 Senior Engineer,B2,softskills,Assertive Communication
Leadership,B2 Senior Engineer,B2,softskills,Coaching & Mentoring
Leadership,B2 Senior Engineer,B2,softskills,Facilitating Agile Ceremonies
Leadership,B2 Senior Engineer,B2,softskills,Handling Difficult Conversations
Leadership,B2 Senior Engineer,B2,softskills,Influencing Without Authority
Leadership,B2 Senior Engineer,B2,softskills,Leading Work Packages
Leadership,C1 Team Lead,C1,ai,AI Delivery Forecasting
Leadership,C1 Team Lead,C1,ai,AI-Powered Reporting
Leadership,C1 Team Lead,C1,ai,Ethical AI Governance
Leadership,C1 Team Lead,C1,core,Conflict Management
Leadership,C1 Team Lead,C1,core,Delivery Excellence
Leadership,C1 Team Lead,C1,core,Leading QA Teams
Leadership,C1 Team Lead,C1,core,Test Planning
Leadership,C1 Team Lead,C1,softskills,Delegation
Leadership,C1 Team Lead,C1,softskills,Emotional Intelligence
Leadership,C1 Team Lead,C1,softskills,Mediation
Leadership,C1 Team Lead,C1,softskills,Running Effective Meetings
Leadership,C1 Team Lead,B2|C1|C2,softskills,Stakeholder Management
Leadership,C1 Team Lead,C1,softskills,Team Leadership & Motivation
Leadership,C2 Associate Manager,C2,ai,AI Maturity Models
Leadership,C2 Associate Manager,C2,ai,AI Quality Governance
Leadership,C2 Associate Manager,C2,ai,AI Resource Planning
Leadership,C2 Associate Manager,C2,core,Financial Awareness
Leadership,C2 Associate Manager,C2,core,Multi-Team Coordination
Leadership,C2 Associate Manager,C2,core,Quality Maturity
Leadership,C2 Associate Manager,B2|C1|C2,core,Stakeholder Management
Leadership,C2 Associate Manager,C2,softskills,Change Management Fundamentals
Leadership,C2 Associate Manager,C2,softskills,Coaching for Performance
Leadership,C2 Associate Manager,C2,softskills,Cross-Team Communication
Leadership,C2 Associate Manager,C2,softskills,Managing Up
Leadership,C2 Associate Manager,C2|D1,softskills,Negotiation
Leadership,C2 Associate Manager,C2,softskills,Strategic Thinking
Leadership,D1 Manager,D1,ai,AI Risk/Quality Prediction Models
Leadership,D1 Manager,D1,ai,AI-First QE Strategy
Leadership,D1 Manager,D1,ai,Scaling AI Automation
Leadership,D1 Manager,D1,core,Change Management
Leadership,D1 Manager,C2|D1,core,Negotiation
Leadership,D1 Manager,D1,core,QE Strategy
Leadership,D1 Manager,D1,core,Scaling Automation
Leadership,D1 Manager,D1,softskills,Building High-Performance Teams
Leadership,D1 Manager,D1|D2,softskills,Executive Communication
Leadership,D1 Manager,D1,softskills,High-Stakes Negotiation
Leadership,D1 Manager,D1,softskills,Leading Through Change
Leadership,D1 Manager,D1,softskills,Organizational Leadership
Leadership,D1 Manager,D1,softskills,Strategic Influence
Leadership,D2 Senior Manager,D2,ai,AI Business Development
Leadership,D2 Senior Manager,D2,ai,Enterprise AI Strategy
Leadership,D2 Senior Manager,D2,ai,Executive AI Communication
Leadership,D2 Senior Manager,D2,core,Enterprise Quality Architecture
Leadership,D2 Senior Manager,D1|D2,core,Executive Communication
Leadership,D2 Senior Manager,D2,core,High-Performance Organizations
Leadership,D2 Senior Manager,D2,core,Innovation
Leadership,D2 Senior Manager,D2,softskills,Executive Presence
Leadership,D2 Senior Manager,D2,softskills,Innovation Leadership
Leadership,D2 Senior Manager,D2,softskills,Vision & Storytelling
Leadership,D2 Senior Manager,D2,softskills,� �Crisis Communication
Leadership,D2 Senior Manager,D2,softskills,� �Enterprise Stakeholder Management
Leadership,D2 Senior Manager,D2,softskills,� �Thought Leadership
Pathfinding,A1 Intern,A1,ai,AI-Assisted Documentation
Pathfinding,A1 Intern,A1,ai,GenAI for Test Case Drafting
Pathfinding,A1 Intern,A1,ai,Intro to AI in Testing
Pathfinding,A1 Intern,A1,ai,Prompt Engineering Basics
Pathfinding,A1 Intern,A1,core,Exploratory Testing
Pathfinding,A1 Intern,A1,core,Git
Pathfinding,A1 Intern,A1,core,Intro Programming
Pathfinding,A1 Intern,A1,core,Introduction to Testing
Pathfinding,A1 Intern,A1,core,Pair Programming
Pathfinding,A1 Intern,A1,core,Test Case Design
Pathfinding,A1 Intern,A1,softskills,Active Listening
Pathfinding,A1 Intern,A1,softskills,Basic Presentation Skills
Pathfinding,A1 Intern,A1,softskills,Collaboration in Agile Teams
Pathfinding,A1 Intern,A1,softskills,Growth Mindset
Pathfinding,A1 Intern,A1,softskills,Professional Communication Basics
Pathfinding,A1 Intern,A1,softskills,Time Management
Pathfinding,A2 Graduate,A2,ai,AI for Exploratory Testing
Pathfinding,A2 Graduate,A2,ai,AI Log/Pattern Analysis
Pathfinding,A2 Graduate,A2,ai,AI-Augmented Test Design
Pathfinding,A2 Graduate,A2,ai,GenAI for API Test Ideas
Pathfinding,A2 Graduate,A2,core,API Testing
Pathfinding,A2 Graduate,A2,core,CI/CD Basics
Pathfinding,A2 Graduate,A2,core,Cloud Fundamentals
Pathfinding,A2 Graduate,A2,core,Functional Testing Masterclass
Pathfinding,A2 Graduate,A2,core,Intro Automation
Pathfinding,A2 Graduate,A2,softskills,Confidence in Stand-ups
Pathfinding,A2 Graduate,A2,softskills,Consultancy Mindset Intro
Pathfinding,A2 Graduate,A2,softskills,Effective Written Communication
Pathfinding,A2 Graduate,A2,softskills,Problem-Solving Fundamentals
Pathfinding,A2 Graduate,A2,softskills,Stakeholder Awareness
Pathfinding,A2 Graduate,A2,softskills,Team Collaboration
Pathfinding,B1 Engineer,B1,ai,AI Performance Insights
Pathfinding,B1 Engineer,B1,ai,AI-Assisted Automation Scripting
Pathfinding,B1 Engineer,B1,ai,Intelligent Test Data Generation
Pathfinding,B1 Engineer,B1,ai,ML Basics for Testers
Pathfinding,B1 Engineer,B1,core,API Automation
Pathfinding,B1 Engineer,B1,core,Cloud Test Execution
Pathfinding,B1 Engineer,B1,core,Intermediate Automation
Pathfinding,B1 Engineer,B1,core,Performance Testing
Pathfinding,B1 Engineer,B1,core,Test Data Management
Pathfinding,B1 Engineer,B1,softskills,Estimation & Planning
Pathfinding,B1 Engineer,B1,softskills,Structured Communication
Pathfinding,B1 Engineer,B1,softskills,� Client-Facing Professionalism
Pathfinding,B1 Engineer,B1,softskills,� Giving Feedback
Pathfinding,B1 Engineer,B1,softskills,� �Conflict-Free Communication
